project,relative_path,original_path,bytes,mtime_ns,sha256,hash_status,bundle_path,storage
mipa,some_face.png,/home/son/mipa/some_face.png,2106331,1783091254730342703,77f4a58d2b9283e22ed389c813388751847353f1699d16a744076fc183ad45c8,computed,local_materials/mipa/some_face.png,copied
mipa,test_audio.wav,/home/son/mipa/test_audio.wav,400576,1783093278818483666,9bd2eb1fc3740a28538e6e97fe8ba462eb124129f3ee163282d75e8d14155f67,computed,local_materials/mipa/test_audio.wav,copied
mipa,test_video.mp4,/home/son/mipa/test_video.mp4,495598,1783092109659457617,60410876b76520dade138c2b425704938f8bae9ff043938091a26c3ffd8db5bf,computed,local_materials/mipa/test_video.mp4,copied
mipa,emotion_video/data.tar.gz,/home/son/mipa/emotion_video/data.tar.gz,84659113,1784239560000000000,37b3d31b0a7c86eba593a60ac18a5ab0cd6c10f26c4f5eb83d97ad070b143ab4,computed,,original_external_asset
mipa,emotion_video/data/.DS_Store,/home/son/mipa/emotion_video/data/.DS_Store,6148,1738785473000000000,dafe2181d7083886f33e006aac8e93ddfa2745ad6a5fe8e6aa3d88bad3dee643,computed,,original_external_asset
mipa,emotion_video/data/AffectNet_val/.DS_Store,/home/son/mipa/emotion_video/data/AffectNet_val/.DS_Store,6148,1731957682000000000,a1dd9c1937868ddffa1c270ff24b5a308e1e60052647153dae2648dbaf5d8bd2,computed,,original_external_asset
mipa,emotion_video/data/AffectNet_val/AffectNet_val_imgs_7.npy,/home/son/mipa/emotion_video/data/AffectNet_val/AffectNet_val_imgs_7.npy,1053824,1731945748000000000,d13646d409cef9e6ffa824c70d9a4191c36b01202d1c51203a0655efdc8f2847,computed,,original_external_asset
mipa,emotion_video/data/AffectNet_val/AffectNet_val_lbls_7.npy,/home/son/mipa/emotion_video/data/AffectNet_val/AffectNet_val_lbls_7.npy,380,1731945748000000000,21aeac6b4d8f95f81900356f294e69a28d037ea1a68f74ea2c0c28c6658a4662,computed,,original_external_asset
mipa,emotion_video/data/AffectNet_val/open_and_pack.py,/home/son/mipa/emotion_video/data/AffectNet_val/open_and_pack.py,1801,1731945749000000000,e41194ab0b206b0454916ccf70f2a5602e42ce5c459ec1700075a78aff81588d,computed,code/mipa/emotion_video/data/AffectNet_val/open_and_pack.py,copied
mipa,emotion_video/data/AffectNet_val/Anger/006dbcccdcd992be19ab3a5751c24bcaf50ecb33d8ec781ae6d3f5c0.png,/home/son/mipa/emotion_video/data/AffectNet_val/Anger/006dbcccdcd992be19ab3a5751c24bcaf50ecb33d8ec781ae6d3f5c0.png,42711,1731945748000000000,a4ae5bad3cb679c7f5515184a75062f378eaeed56b1a59ef3e790625d0b2a984,computed,,original_external_asset
mipa,emotion_video/data/AffectNet_val/Anger/010d6da18fd79e7dd21e60e202a035671a8c4a13787489e4024f656a.jpg,/home/son/mipa/emotion_video/data/AffectNet_val/Anger/010d6da18fd79e7dd21e60e202a035671a8c4a13787489e4024f656a.jpg,14582,1731945748000000000,7ff1d2500e73a3f98481ed0c10f975a5c55791874487c71c79581a927b66bfaf,computed,,original_external_asset
mipa,emotion_video/data/AffectNet_val/Anger/0119a4bd5e4a1caf4829372016fab30819eef0879eb8f5fa8db25dec.jpg,/home/son/mipa/emotion_video/data/AffectNet_val/Anger/0119a4bd5e4a1caf4829372016fab30819eef0879eb8f5fa8db25dec.jpg,16421,1731945748000000000,2cbac562c3db6636a8838712b9ce75aba967fed044e25ec197e32dbd49cc2503,computed,,original_external_asset
mipa,emotion_video/data/AffectNet_val/Anger/01797eb3860751b409fb3d9976b3d5aca9e110a09d9c13bac1daa079.jpg,/home/son/mipa/emotion_video/data/AffectNet_val/Anger/01797eb3860751b409fb3d9976b3d5aca9e110a09d9c13bac1daa079.jpg,14990,1731945748000000000,f3a463a359dd8dbf23d376eb4676ed2733fa4f0f7b14a0ac9815fcc895ecded6,computed,,original_external_asset
mipa,emotion_video/data/AffectNet_val/Anger/02c0ef76e0b13fb5bd2435c6f37c4e8d98d95787e45775899cc13a7f.jpg,/home/son/mipa/emotion_video/data/AffectNet_val/Anger/02c0ef76e0b13fb5bd2435c6f37c4e8d98d95787e45775899cc13a7f.jpg,11819,1731945748000000000,1fc8d949d4d63fc6b2bc2810f55f868ba99b8ff8002f43bec6dd44afa3bab8fd,computed,,original_external_asset
mipa,emotion_video/data/AffectNet_val/Anger/038aa221a9dce116878b1dd4c12fddc7bae72b6340043ad59be46421.jpeg,/home/son/mipa/emotion_video/data/AffectNet_val/Anger/038aa221a9dce116878b1dd4c12fddc7bae72b6340043ad59be46421.jpeg,21911,1731945748000000000,c404e88afd3a7a306c9fbea765ea2a28d062e8b05334cf87bc19f84bc475bb82,computed,,original_external_asset
